출발지/목적지,,,,,,기간: (2020~2020),,,,,,,,단위(톤/년),,,,
,서울,부산,대구,인천,광주,세종,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,total
서울,"32,668,611","879,870","246,905","1,622,015","181,615","117,497","294,377","429,498","16,739,449","858,841","1,086,555","1,608,799","249,708","509,461","1,233,957","758,943",0,"59,486,101"
부산,"1,732,550","38,446,239","1,722,556","3,479,945","880,264","553,008","688,262","12,632,453","17,096,810","686,200","4,149,408","3,945,331","1,505,459","2,262,487",10707194,21064077,0,"121,552,243"
대구,771193,3228088,11159681,410669,312874,129262,318716,1738290,2468148,500323,1179669,1631557,597265,874038,8503959,3482021,0,"37,305,753"
인천,12490451,3187858,627813,95444949,525339,557576,993047,2564670,67032872,3639138,4959200,9916943,1696618,3817676,4716171,2471224,0,"214,641,545"
광주,432618,2265410,225510,384491,7018146,53169,216503,869361,1854397,178955,480773,1101507,928817,8052783,951554,1163219,0,"26,177,213"
대전,193396,1317637,84226,239712,75339,117059,4042179,249076,922966,119361,754804,964371,210730,328154,582819,288464,0,"10,490,293"
울산,304135,14046251,635310,403544,210701,76411,175649,92380440,2010877,446986,759505,1225071,455225,1537187,4666355,4028206,0,"123,361,853"
경기,20980390,16758236,1523411,18413459,1235762,1330598,2736630,4388180,137702306,6646866,13243197,38717686,4362687,4868620,9837422,5263844,0,"288,009,294"
강원,2069045,1650677,891337,1485520,361939,508818,668926,2063055,14098674,36629399,5692567,4990576,1634893,2417066,7488028,2438446,0,"85,088,966"
충북,1846122,3227865,945603,1347345,464930,1414284,1576999,2307201,12709896,4276163,18810808,8215914,1999292,2571479,6112245,2628267,0,"70,454,413"
충남,3218660,5235730,1000850,3250221,890142,1662469,2535641,2828489,25980168,2584696,7269432,77271817,4777632,4151459,5727406,3181443,0,"151,566,255"
전북,2268456,3037156,1268782,1386895,2187586,683338,1965197,1994334,10431422,2099421,4581243,9482624,35101162,8702205,6177346,4677727,0,"96,044,894"
전남,1860580,4108442,1574577,1541310,7172901,1629672,1228904,4871732,12011279,2816975,5390504,8303445,8366904,122266607,8304798,9289769,0,"200,738,399"
경북,1832623,16312443,4179689,1356152,776795,424484,988440,8299089,8288409,3001646,4740100,4865969,1979556,3474456,60789502,6901430,0,"128,210,783"
경남,1345938,27139453,2950726,1012331,959178,344685,830463,9841903,6800034,1903285,3011408,4044465,2440337,6393940,10424454,69045854,0,"148,488,454"
제주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9123013,"9,123,013"
세종,323739,449627,147691,298813,108438,2363623,607431,307115,2737789,487486,3494556,4030889,529705,613294,1208162,465389,0,"18,173,747"
